Run, SubRun, Event
10.5082 , -8.5242 , 83.8289
10.5056 , -8.52576 , 84.2916
10.5092 , -8.52596 , 84.7533
10.5127 , -8.52617 , 85.216
10.5163 , -8.52637 , 85.6776
10.5198 , -8.52658 , 86.1396
10.5234 , -8.52678 , 86.6019
10.527 , -8.52698 , 87.0636
10.5305 , -8.52719 , 87.5254
10.5341 , -8.52739 , 87.9872
10.5377 , -8.5276 , 88.4499
10.5412 , -8.5278 , 88.9114
10.5448 , -8.52801 , 89.3736
10.5484 , -8.52821 , 89.8368

Run, SubRun, Event
6259 , 36 , 1641

14.7656 , 1.88825 , 0.200282
14.7123 , 1.88633 , 0.679618
14.6599 , 1.88445 , 1.15108
14.6089 , 1.88261 , 1.60943
14.5567 , 1.88073 , 2.0793
14.5051 , 1.87888 , 2.5428
14.4535 , 1.87702 , 3.00722
14.4029 , 1.8752 , 3.46197
14.3504 , 1.87331 , 3.93437
14.2999 , 1.87149 , 4.38891
14.2482 , 1.86963 , 4.85387
14.1975 , 1.8678 , 5.31026
14.1457 , 1.86594 , 5.77625
14.0975 , 1.86579 , 6.23776
14.0583 , 1.87069 , 6.70129
14.0196 , 1.87554 , 7.15916
13.9808 , 1.8804 , 7.61865
13.9424 , 1.8852 , 8.07279
13.9034 , 1.89008 , 8.53473
13.865 , 1.89488 , 8.9885
13.8258 , 1.89979 , 9.45235
13.7867 , 1.90468 , 9.9155
13.7481 , 1.90951 , 10.3723
13.7091 , 1.9144 , 10.834
13.5543 , 1.93546 , 12.6644
13.5154 , 1.94325 , 13.1234
13.4761 , 1.95113 , 13.5873
13.4381 , 1.95874 , 14.0358
13.399 , 1.96658 , 14.4974
13.3608 , 1.97422 , 14.9477
13.3222 , 1.98196 , 15.4036
13.283 , 1.98979 , 15.8651
13.244 , 1.99762 , 16.3262
13.205 , 2.00542 , 16.7859
13.1669 , 2.01306 , 17.2357
13.1281 , 2.02082 , 17.6927
13.0893 , 2.02858 , 18.1503
13.0506 , 2.03635 , 18.6078
13.0171 , 2.04202 , 19.0655
12.9846 , 2.04717 , 19.5334
12.9527 , 2.05223 , 19.9928
12.9206 , 2.05731 , 20.4542
12.8893 , 2.06227 , 20.9046
12.8573 , 2.06734 , 21.3659
12.8256 , 2.07235 , 21.821
12.7938 , 2.0774 , 22.2796
12.7615 , 2.08252 , 22.7441
12.7297 , 2.08755 , 23.2017
12.6981 , 2.09257 , 23.6569
12.6663 , 2.0976 , 24.1145
12.6342 , 2.10268 , 24.5753
12.6022 , 2.10775 , 25.0366
12.5721 , 2.11415 , 25.4885
12.5411 , 2.12089 , 25.9551
12.5108 , 2.12749 , 26.4121
12.4804 , 2.1341 , 26.8694
12.4503 , 2.14066 , 27.3235
12.4196 , 2.14733 , 27.7858
12.3885 , 2.1541 , 28.254
12.3585 , 2.16063 , 28.7064
12.3283 , 2.1672 , 29.1613
12.2979 , 2.17382 , 29.6193
12.2677 , 2.18038 , 30.0736
12.2374 , 2.18697 , 30.5296
12.2071 , 2.19357 , 30.9867
12.1766 , 2.2002 , 31.4456
12.1533 , 2.20845 , 31.9054
12.1425 , 2.21949 , 32.3636
12.1318 , 2.23045 , 32.8182
12.1211 , 2.24149 , 33.276
12.1104 , 2.25242 , 33.7293
12.0997 , 2.26343 , 34.186
12.0891 , 2.27437 , 34.6396
12.0783 , 2.28544 , 35.0987
12.0676 , 2.29638 , 35.5525
12.057 , 2.30734 , 36.0072

Run, SubRun, Event
6260 , 150 , 7463


21.8753 , -6.57213 , 0.954032
21.824 , -6.60814 , 1.44232
21.774 , -6.64326 , 1.9186
21.7235 , -6.67874 , 2.39978
21.6763 , -6.71181 , 2.86517
21.6332 , -6.74185 , 3.36505
21.5922 , -6.77045 , 3.84083
21.5514 , -6.79889 , 4.31408
21.5101 , -6.82771 , 4.79363
21.469 , -6.85636 , 5.27027
21.4275 , -6.88371 , 5.74164
21.3819 , -6.90847 , 6.22478
21.3365 , -6.93311 , 6.70571
21.2917 , -6.9574 , 7.17975
21.2478 , -6.98125 , 7.64513
21.1675 , -7.07855 , 9.55567
21.1672 , -7.10266 , 10.0314
21.167 , -7.12678 , 10.5072
21.1683 , -7.15126 , 10.9817
21.1955 , -7.18301 , 11.46
21.2231 , -7.21528 , 11.9459
21.2505 , -7.24726 , 12.4275
21.2777 , -7.27895 , 12.9048
21.3047 , -7.31047 , 13.3795
21.3308 , -7.34472 , 13.8656
21.3545 , -7.38207 , 14.3498
21.378 , -7.41918 , 14.8309
21.4016 , -7.45643 , 15.3137
21.4256 , -7.4943 , 15.8046
21.4491 , -7.53129 , 16.2842

Run, SubRun, Event
6260 , 150 , 7465


17.9899 , -0.561766 , 0.712687
